ketone urne|ketne urie|mchc blood
hiv antibody blood|hiv microbiology antibody bloo|atypical lymphocytes fluid joint
immunoglobulin g blood|blod immunoglobuling|urine eosinophils
blood oxygen|oxge blood|fmc-7 other body fluid
macroovalocytes blood|micro bld macroovalocytes|alveolar-arterial blood gradient
basophils fluid joint|basophils joint fluid|brad casts rine
quantitative bicarbonate, stool stool|qnt bicarbonate, stool stool|fm- other boyfluid
cd16/56 marrow bone|bone cd16/56 marrow|blo schistocytes
wbc, joint joint fluid fluid|wbc, rheum joint fluid fluid joint|level bld digoxin
young young platelets cells blood|young cells blood|d4 arro bone
urine crystals, other urine|urine crystals, urine other|blood magnesium random
ld, fluid body other body fluid|ld, bod fluid other body fluid|anti-neutrophil cytoplasmic antibody blood
urine sulfonamides|urie sulfonamides|reptilase blood time
nucleated red wb ells blood|nuc uclated red cellsblood|une ft ne bodies
blod auto hemaocrit|hematocrit blood|gucose blod
howell-jolly bodies blood|howell-jolly bodies blood qualitative|pleural triglycerides, pleural
cd45 bone marrow|d45 marrow boe|carbamazepine blood
lymphocytes absolute bld|blood yphcyte|basophils ascites
sodium, urine urine|sodium, urine urine|igm screen a virus hepatitis antibodyblood
ellitocytes blood|nominal eliptocytsblood|chloride, stool stool
renal epithelial urine cells|cells epithelial renal urine|howell-joly bodis blod
centrome autoantibody blood|cetromerblood|xiii factor blood
other body fluid sodium, body fluid|fluid body sodium, other body fluid|nucleated red wb ells blood
cd59blood|blood cd59|pltelet smar bld ct
bonemarrow cd64|cd64 mrrw bon|uric acid crystals urine
immunofixation, urine urine|urn immunofiation, urine urine|ascites ascites osmolality,
blood cyclosporin|cyclosporin blood|blood chloride
cells epithelial transitional urine|transitial eitheial cells urie|tissue boo elliptocytes
d5 ody othr fluid|cd5 other body fluid|serum or plasma thyroid antibodies peroxidase bld
urine sulfonamides|urine sulfonamides|blood testosterone random
cd19 bonemarrow|bone cd19 marrow|cd23 blood
osmolality, stool stool stool = fecal|stool stool osmolality,|young young platelets cells blood
blood estradiol universallaborders|estradiol blood|plas quant cells pleural
cerebrospinal csf hematocrit, fluid (csf|hmatocrit, csf fuid cerebrospinal (csf)|heinz body prep blood
blood antithrombin|antithrombin blood|lymphs (csf) fluid cerebrospinal cerebrospinal fl
theophylline blod|theopylline bloo|testosterone blood
random dgoxin blood|digoxin o|lymphocytes blood
protein blood antigen c,|c, protein antigen blood|bodyfluid other cd1
chlord, uine urine ur|urine urine chlride, qnt|bld auto monocytes
functional fibrinogen, blood|bloo functinal fibrnogen,|random immunofixation blood
f hemoglobin bld|f hemoglobin blood|blood thrombin
o2, body fluid qnt oth body fli|po2, body fluid other boy flud|eosinophils ascites
blo schistocytes|schistocytes bld|blood quan ntprobnp
urne ranulrcasts|granular uie casts|thrmbin bood
microglobulin beta-2 blood|beta-2 microglobulin blood|urine gravity specific
cd45 blood|cd45 blood|urine yeast
rbc, ascites ascites|rbc, ascite absolute ascites|otasium, bodies otherboy bodyflui fuid
ethanol, urine urine urn|ethanol, urine urine|bld serum or plasma teststerone
amylase, urine urine diastase|amylse, urin urie|antibodieblood anti-thyroglobul
ascites glucose, ascites|glucose, ascites ascites quantitative|bleeding time blood
bood amylase|blood amylase|opiate screen, urine urine
random cells young blood|bld cells young|hiv antibody blood
cholesterol ratio (total/hdl) blood|cholesterol ratio blood (total/hdl)|blood cd15
total protein, urine urine|urine prten, toal urine|barbiturate scrn blod
bands whole bld bld|bansblod|bld transferrin
blood arbamzepine level|carbaaepine bld|absolue 8count blood
urine fat bodies urine|urine fat bodies urine point in time|blood point in time index ck-mb
blood screen benzodiazepine|benzodiazepine screen blood|cd14 marrow bone
b hepatitis surface antibody sr bld|hepatitis b surface antibody blood|antigen willebrand factor vn blod
rbc, oint fluid number concentration join fluid|rbc, jont fluid joint fluid|plasma cells pleural
hypersegmented blood number concentration (count/vol) neutrophils|hypersegmented neutrophils manl blood|osmolit, asites ascites ascites
hematocrit urine hematology/cell counts|rine hematorit|waxy urine casts
lod manesium|magnesium blood|eoiophl fluid ererospial csf)
serum or plasma creaine kinase (c) blood|creatn quan kinase (ck) blood|tyrosine urine crystals
amylase bloo catalytic concentration|plasma amylase bld|sicke bloo micro cels
sodium, urine urine|sodium, urine urine na+|bilirubin, direct blood
blood antithrombin|bloo antithrombin|transfrrin bloo
othe itroen, body fluid fluid urea body fluid|urea nitrogen, bodyfluid other body fluid|wbc urine
crystals bilirbin uine|urin crytals biliubn|% hemoglobin a1c blood
lymphocytes ascites|ascites lymphocytes leukocyte|benzdiazepine screen,uin urine pr
cholesterol, hdl blood|serp hdl cholesterol, bld|psa rostae specific antien bld
chloride blood|blood chloride cl-|blood triglycerides
blo cd10|cd10 blood|creatinine clearance urine
wbc,csf cerebrospinal lud (sf)|wbc, csf cerebrospinal fluid (csf)|creatine kinase serpl (ck) bld
fluid other body cd41|cd41 fluid body other|24 hr ua creatinine urine
cholesterol, pleural pleural|cholesterol, pleural pleural|ascites plasma
cd56 other body fluid|body oher cd56 fluid|actor vii blood
pleural bicarbonate, pleural|bicarbonate, pleural pleural|testosterone, free blood
marrow bone cd23|bon cd23 marow|serum or plasma creaine kinase (c) blood
urbilinoen urine|urine urobilinogen|calcium, blo serpl total
schistocytes bod|schistocytes blood|total protein, joint fluid joint fluid
blood myelocyes|myelocytes blood|urine eosinophils
arbitrary concentration thyroid stimulating hormone blood|hormone throidstimulating loo serum|pleura pleurl glucose, point in time
blod rapmycin|rapamycin blood|blood methemoglobin hb
alpha-fetoprotein blood|blood alpha-fetoprotein|barbiturat screen, uine urie
mesothelial cells cerebrospinal fluid (csf) random|mesothelial cells csf cell (csf)|ab, transglutaminase tissue iga blood
macophae other body hematology/cell counts fluid|body manl other macrophage fluid|bili-alb bilirubin, direct bld
urine cast hyalin|casts hyaline urine|uic acidcrystal urie
nitrogen, urea pt urine urine|urea nitrogen, urine urine|<albuin>cerebrospinafluid(cerebrospinal fluid) cerebrospinal fl
ammonium urine biurate|ammoium biuate urin|lymphs (csf) fluid cerebrospinal cerebrospinal fl
prolactin plasma blo|blood prolctin|blood gradient alveolar-arterial
blood peep|peep blood|theophylline blood
osmolality, urine ur urine|osmolality osmolality, urine urine|basophils joint fluid
urine urine chlride, qnt|chlord, uine urine ur|cd56 blood
blood cyclosporin|blood cyclosporin|urine cells epithelial
phenobarbital blood|blood phenobarbital|creatinine bld
blood inr(pt)|inr(pt) blood|o2 flow blood
marrow bone cd13|bone cd13 marrow|lymphs (csf) fluid cerebrospinal cerebrospinal fl
urine yeast hyphenated|hyphenated yeast urine|uric urine acid, urine
factor vii blood|blood vii factor|glucose blood
blod bicarbonte, wole calulated blood|calculatedbicabonate,whole bood blood|rbc, rbcs ascites ascites
fluid other bdy macrophage|macophage other body lud|qnt other monos body fluid
oxygen saturation blood|saturaton oygn lood quant|blood theophylline
cholesterol ratio blood (total/hdl)|cholesterol ratio (total/hdl) blood|spec hematocrit, cerebrospinal fluid cerebrospinal (cerebrospinal fluid) fluid
polys pleural|polys pleural|crystals, urine other urine
pecet cells, cd blood|boo cels, ercet cd3|estimated gfr (mdrd equation) bld
odium bloo|blood sodium ser|uric acid urine crystals
ph log molar concentration urine|nephrology p urne|creatine kinase ck (ck) bood
fmc-7 blood|fmc-7 bood|blood inr(pt)
estimated gfr (mdrd equation) bld|estimated gfr (mdrd equation) blood|gravity specific urine
myelocytes cerebrospinal fluid (csf)|myelocytes cerebrospinal fluid (csf)|heinz body prep blood
blood promyelocytes|quan blood promyelocys|chloride, whole blood blood
tyrosine crystals urine|tyrosine urine crystals|amylase, urine urine diastase
cd19 other body fluid|fluid other body cd19|blood arbamzepine level
blood flow o2|bld flow o2|percent cells, cd4 blood
reticulocyte count, automated blood|reticuloyte count red bld corpusles atomated bood|glutamyltransferase gamma blood
heogoblin a blood|hemogloblin a blood|blood cells, percent cd4
acetaminophen bld|acetaminophen bld|sodium, random ascites ascites
creatinine, body fluid other body fluid|creatinine, od fuid other body fluid|sickle cells bld
bicarbonate blood|bicarbonate bld|cd13 other body fluid
absolute cd8 count blood|asolut cd8 count lood|ethanol, urine urine
cd3 other fluid body|cd3 ther fluid boy|casts waxy urin
benzodiazepin screen, benzodiaz urine urine|screen, benzodiazepine urine urine|blood cd59
anti-smooth muscle antibody autoantibodies blood|anti-smooth muscle antibody aby blood|polys cerebrospinal fluid (csf)
rbc, pleral pleural|rbc, pleua pleural|protein hr 24 urine
cholesterol ratio (total/hdl) bld|cholesterol ratio blood (total/hdl)|bone cd33 marrow
blood volume tidal|volume tidal blood|ellitocytes blood
blood point in time index ck-mb|ck-mb index blood|plasma ther quant bdyflid
mesothelial cells cerebrospinal fluid (csf)|mesothelial cells cerebrospinal fluid (csf) random|antien factor vonwillebrand blod
antibody a virus hpatiis bld|a hepatitis virus antbo blood hepatit|h/o smear blood
urie ph|phurine|digoxin o
immunofixation, urine urine|urine urine immunofixation,|peural leukocyte onos
gastrin blod|chemistry gatrinblood|blood meia factor rheumatoid
chemistry gatrinblood|gastn bood|ntign specific prostate bld
h/o smearblod|h/o sear blod|total proten, joint flu jointfluid jint lui
cd4/cd8 ratio other body fluid|cd4/cd ratio other bod fluid|cd15 blood
benzdiazepine screen,uin urine pr|benzodiazepine pr screen, rine urie|immunoglobulin m blood qnt
blood prolctin|prolactin plasma blo|blood microcytes
bodies pappenimr bld|bood bodes point in time papeneimer|cholestel, body luid other fluid body choles
albumin, body fluid other body quan fluid|albumin, body fluid other body fluid|cd13 lood
antithrombin blood|blood antithrombin|wbc, leuk pleural pleural
urine crystals, urine other|crystals, urine other urine|other body fluid glucose, body fluid
tbg caculated blod|calculated tbg blood|reticulocyte count, manual bld bld
24 r calcim urn|24 hr calcium urine ur|cholesteol, plral cholesterol total pleural
barbiturate screen blood|whole blood barbiturate screen blood|blood cellantibody antibodies anti-prietal
urine amylase, amyl urine|amylse, urin urie|total chemistry protein, pleural pleural
hrmne se bindng globulin blood|sex binding hormone globulin blood|c4 blood
sodim blood serum|blood sodium ser|atimitochondrilantibody blood ama
monocytes joint fluid|mnocytes fluid joint|bld promyelocytes
blood alpha-fetoprotein|bld serum or plasma alpha-fetoprotein|ascites mass concentration triglycerides, ascites
pleural protein, pleural pr total|total protein, pleural pleral|blood cd16
joint joint fluid rbc, fluid|rbc, jont fluid joint fluid|tobramycin blood
urine, hcg, qual urine|qualitative urine, cg, urin|calcium, body fluid other body fluid
waxy casts urine|casts waxy urin|anti-mitochondrial antibody blood
urine h|urine ph|epithelial transitional cells urine
ascites leukocyte wbc, ascites|wbc,acites actes abs|blood cd14
blood xi factor|factor blood xi|marrow bone cd14
xi factor blood|factor blood xi|immunofixation blood
uric acid crytals urie|uric acid urine crystals|protein antigen s, blood
micro bld macroovalocytes|macroovalocytes blood|plsm bld total calcum
cd138 body other fluid|cd138 other fluid body|hemoglobin a1c glycosylated hemoglobin blood
cd59blood|blood cd59|other body fluid sodium, body fluid
barbiturate screen, ure urie|barbiturate urine urine screen,|level ascites ascites glucos,
base excess blood|base excess blood|lod cont whole blood platelet
ph blood|bod ph pulmonology|ph other body fluid
24 hr calcium urine|24 r calcim urn|antibody anti-nuclear blood
cd14 oherbody fluid|cd14other fluid b|xii factor blood
pleural pleural albumin,|pleurpleural albumin,|hypersegmented neutrophils cerebrospinal hematology/cell counts fluid (csf)
urine bicarbonate, urine|bicarbonate, urine urine|pleural total, pleural bilirubin, pleural fluid
d5 ody othr fluid|fluid otherbody cd5|other cells bld
macroovalocytes blood|micro bld macroovalocytes|alveolar-arterial blood gradient
fctor viii inhbitorblood|factor blood inhibitor viii|cd41 other body fluid
sodium, random ascites ascites|ascites ascites sodium,|body other cd33 fluid
gravity specific urine|specific gravity urine|antibodies thyroid microsomes peroxidase thyroid blood
bld carbamazepine|carbamazepine blod qnt|creatinine, ascites ascites
spherocytes blood|spercytesblood pr|cd33 fluid body other
hematocrit, caculated blood|hematocrit, volfr calculated bld|acites random potasium scies
microcytes bood|microcytes hematology/cell counts bood|c7 blood
blood phosphate|quant blood phosphate|sodium, qnt stool stool
triglycerides, pleural pleural|pleural triglycerides, pleural|ph log molar concentration urine
benzodiazepine pr screen, rine urie|screen, benzodiazepine urine urine|x factor blood
fluid other body cd10|bodyfluid other cd1|hormone luteinizing blood
bone cd33 marrow|cd33 bone marrow|asites plasma
ck-mb index blood|ck-mb index serum bld|urine hemosidein
bod pco2, body fluid other body fluid|pco2,body fluid carbonic anhydride fluid body other|bone cd16/56 marrow
cd23 bone marrow|marrow bone cd23|wbc, joint joint fluid fluid
antibodies anti-thyroglobulin blood|anti-tyroglobuli antibodies blood quant|heinz body prep blood
acetaminophen bld|acetaminophen blood|estimated gfr (mdrd equation) bld
atypical lymphocyes rebrosinlfld (cf) number fraction|atpical lympocytes lymphs cererospinl flud (csf|hepatitis b surface antibody blood
beta-2 microglobulin bld|microglobulin beta-2 blood|hepatitis a virus antibody blood
blood glucose|wb glucoseblood|urine ph
serum or plasma thyroid antibodies peroxidase bld|thyroid peroxidase antibodies blood|blood estradiol universallaborders
