anticadiolin antibdy ig blood|anticardiolipin igg antibody blood|body other cd7 fluid
urine phosphate crystals triple|trile phosphate crsls urine|urie amyl ratio, urie mylse/reaiine
amylas, joit fluid uid joint syn|amylase, joint fluid joint fluid|cd22 other body fluid
cells plasm blod|plasma blod cels|blood cd38
(csf) cerebrospinal fluid macrophage|random macrhae cerebrospina (csf) fluid|polys ascites
prot elph pnl pep, csf cerebrospinal fluid (csf)|pep, csf csf fraction (csf)|cd138 other body fuid
holesterol rati tot/hl) blood|cholesterol ratio (total/hdl) blood cardiology|bld parasite smear bld identity or presence
aio uptake blood|ratio uptake blood|urineurie calcium, ur
acid blood phosphatase|acid phosphatase blood|macrophag joint fluid
hyaline urine casts|hyaline casts urine|globulin bld
anti-smooth blood antibody muscle|anti-smooth antby muscle blood antibody|body protein, total fluid other body fluid
ascites leuk eosinophils|percent eosinophils ascites|gam bloo glutamytnsferas
blood antibody anti-nuclear|anti-nuclear blood point in time antibody|urine birae ammoum
basophils joint fluid|fluid joint basophils|cd5 bodyfluid othr
factorxi blood|factor xi blood|calcium, substance concentration ine uri
lactate blood|blood lactate|phosphatase alkaline blood
aumin/creatinine, uine urine|albumin/creatinine, urine urine|blood cd10
blasts csf (csf)|fluid cerebrospinal blasts (csf)|calcium crystals carbonate urine
blood volume tidal|tidal volume blood|lymphs% aticalymphocytes plural
heparin, lmw blood|hepar, lmw blood|hemogloblin a blood
creatinine learance uie quant|creatinine urine clearance|blod pl cid valproic
bone hla-dr marrow|hla-dr bone marrow|lymphocytes blood
wbc casts urine|wbc urine casts|cels, d8 pecntblod
polys other body fluid|cell polys othe body flu|bloo sear h/o
blood antibody anti-nuclear|anti-nuclear blood point in time antibody|body body fluid other sodium, fluid
cd19 blood|blood cd19|mesothelial cells cerebrospinal fluid (csf)
hypersegmented (csf) cerebropinlfluid neutrophil|hypersegmented neutrophils cerebrospinal fluid (csf)|blasts blood
metamyelocytes percent other body fluid|metamyelocytes other body fluid|bleeding time blood
h/ smear blood|h/o smear blood|double dna stranded blood
blood measured osmolality,|osmolality, measured blood|potssium otherbdy fluid
porphobilinogen screen urine|porphobilinogen screen urine|epatiti c bloo antibody virus
satuation oygen blood|oxygen saturation quantitative blood|urine leukocytes
cd5 marrow bone|bone cd45 marrow|rticulocyte cunt,utomated blod auto
cd8 bone marrow|d8 bone marrow|uine eukocytes
bilirubin urine|urne bilirbin|acid blood phosphatase
urine fatty|fatty urine|ammonia blood
urn agnesiu, urin urine|point in time urine urine magnesium,|eosinophl other body luid
theophylline quan bld|hephylline bood|blood basophis
urine urine other crystals,|urine crystals, other urine|blood whole potasium, blood
anti-thyroglobulin antibodies blood|ani-thyroglobulin sr bood antibodies|cd5 other body fluid
myelocytes other body fluid|myelocytes body other fluid|bld hormone parathyroid
tobramycin blood|mass concentration blood tobramycin|prcainmde bld
loo hgb hemoglobin|hgb absolut hemoglobin lood|uric acid blood
uicacidbod|uric acid blood|p other flu bodyfluid
blood random estradiol|quantitative estradiol bld|lymphoyte,percent blood
blod heparin|eparin blood|rticulocyte cunt,utomated blod auto
c-ratveproein bood|protein c-reactive blood|pleural pleural level chloride,
body othr lasma fluid|plas flud otherbod|absolute wbc count blood
hematocrit, csf cerebrospinal fluid (csf)|hematocrt, fluid cerebrospina cerebrospinal fluid (cerebrospinal fluid)|wbc count blood
urine wbc|urine wbc|atiody eia surace hepatitisb bloo
potassium bod other body fluid|potassium, body fluid other body fluid|pleural chloride, pleural
bsohilic bood stippling|basophilic stippling blood|choleserol ratio (ttal/hl) choles bood
sex hormone binding globuin bood sex steroid binding protein|sex bindng hormoe globulinbood|blood xii factor
cd41 marro bone|marrow bne cd41|h/o smear blod
bicarbonate, urine urin|rine bicar bicrbonte, urine|pulmonology pleural pleural amylase,
alveolar-arterial gradient blood|blood gradient alveolar-arterial|leukocyte alkaline phosphatase blood
iron stn stain bone marrow|bone stain iron marrow|drug/toxicology barbiturate rine screen, ure
calcium, ttal bod|quan calcium, blood total|protein electrophoresis blood
esimate gfr (mdrd equation) blood|estimated gfr (mdrd equation) blood|ketone urine
cd33 blood|blood cd33|urine ketone
body other cd20 fluid|other cd20 body fluid|blood ife immunofixation
hemogloblin s blood|bld s electrophrs hemoloblin|mylase,pleural pleural
hb bld methemlbin|methemoglobin blood|basophils joint fluid
potassium other body fluid|potssium otherbdy fluid|cd11c blood
renal epihlialclls rine|rena epithlial cells urie|bilirubi, blood universallaborders tota
blood d-dimer|blood d-dimer|alanine universallaborders aminotransferase blood (alt)
lood hemoglobi|quantitative hemoglobin blood|cd5 blood
neutrophils hypersegmented neutrophil blood|hypersegmented neutrophils bld|protein c, antigen blood
calcium crystals carbonate urine|cstals carbonate calcium urine|quantitative g6pd blood
d41 bone marrow|marrow c41bone|acid valproic bld
lactate dehydrogenase, csf csf (csf) random|lactate dehydrogenase, csf csf (csf)|prolactin blood
protein total bloo|protein, toal blood universallaborders|methadone, ordinal urine urine
m immunoglobulin blood serp|quan blod m imoglobuin|hyaline urine casts
blood blood schistocytes|blood schistocytes|basophils jit flud quan
fluid neutrophils cerebrospinal hypersegmented (csf)|hypersegmented neutrophils cerebrospinal fluid (csf)|eosinophil blood count hematology/cell counts
bilirubin, total, body fluid other body fluid|bilirubin, total, body fluid other fluid body|quantitative g6pd g6pd lood
bf macrophage other body fluid|macrophage body other fluid|follile stimulaing sr blood hormon
imunoglobuin g blood|munogluin g blod|ferritin blood
bicarbonate, stool stool|stool icaronate, stool|creatinine clearance urine
urine hemosiderin ur|urine hemosiderin|blood cell antibody anti-parietal
nitrite urine|urine nitrite|envelope cells blood
blood cd19|blood cd19|urne volume urine
rena epithlial cells urie|renal urine cells epithelial|cd other body fluid
blood cd56|cd56 blood|creatinine, joint fluid joint fluid
glucose, body fluid other body fluid level|gluose, ody body oher fui fluid|bld glucose
magnesium, body fluid other body fluid|magnesium, other flui boy body fuid|bands blood
urine crystal tyrosine|tyrosine crytals rin|urine universallaborders ph
cholesterol, body fluid other body fluid|cholesterol, body body choles other fluid fluid|phosphatase alkaline blood
bilirubin urine crystals|crystls bilirbin urine|bilirubin, indirect bld
mnolobulin g random lood|immunoglobulin g blood|plasma pleural cells
blood d-dimer|d-dimer blood|cortiol serum blod
protein, total blood|protein, toal blood universallaborders|quantitative g6pd g6pd lood
urine gravity peifi|specific urine gravity|rne casts,oter urine
cd1 blood|blood cd19|phother fluid body
protein total bloo|protein, total blood|blood white blood cell myelocytes
d-dimer blood|blood d-dimer|blood cd56
oy ody fluid oher chlorid, fluid|chloride, body fluid other body fluid|anticardiolipin igm antibody blood
absolute lymphocyte count blood lympho|absolute lymphocyte count blood|wbc, joint fluid fluid joint
basophis cerebrospnal (cerebrospinal fluid) fuid|basophiscerebrospinal (csf) fluid|tdal volume bloo
cd55 bone marrow|cd5 bne marrow|prot. electrophoresis, urine urine
lymphocytes joint white bld cells fluid|lymphocytes qnt joint fluid|human gonadotropin chorionic blood
lactate dehydrogenase, csf csf (csf)|lactate dehydrogenase, csf cerebrospinal (csf) fluid|plsm cholesterol, hdl blood
the d19 body fluid|cd19 other body fluid|urine volume urine
glucose, joint fluid joint fluid|glucose, glucoseur joint fluid joint fluid|whole chloride, blood blood
myoglobin, urine urine|myoglobin, urine urine|oxgen blood
blood salicylate|screen saliylate bld|cd103 bone marrow
eosinophl other body luid|eosinophils other body fluid|blod actorxi
24 mrate hr calcium urine|hr 24 clcium urine|blood macroovalocytes
ql prep heinzbo lood|heiz ody prep bld point in time|thoracentesis fluid amylase, pleural pleural
bicarbonate, stool sool|bcarboate, stoo stol|homocyseine bloo serp
sodium blood|sdium blood|blood ptt
cd19 other fluid body|the d19 body fluid|fluid cerebrospinal erythrocyte nrbc (csf)
hemoglobin blood|hemoglobin blood|glucose, glucoseur joint fluid joint fluid
cd10 other body fluid|other cd10 body fluid|cd15 body other fluid
urine urn urine myoglobin,|myoglobin, urine urine|d16/6 ote body fluid
cd4/cd8 fluid other body ratio|cd4/cd8 ratio other body fluid|polys csf (csf)
creatine blood (ck) kinase|(c)blo kinase cratine qnt|re cellsblood blood
bone cd marrow|cd2 marrow bone|factor xii blood
white blood cells ascie polys|polys quan ascites|bacteria urine
protein functional c, blood|protin c, uncinal blood|von illebrand actor activity blood
wbc plasma cels leural|plasma cells pleural hematology/cell counts|cd19 other fluid body
cd3 bone marro|bone cd23 marrow|fluid joint eosinophils
protein electrophoresis blood|pteinelectrophoresi blood pl|lymphctes blood
d10 marrow bone|cd10 bone marrow|hematocrit, csf cerebrospinal fluid (csf)
d41 bone marrow|marrow c41bone|macroovalocytes blood
thoracentesis fluid amylase, pleural pleural|amylase, pleural pleural|pophbilinogn urine cren heme
blood hla-dr|blood hla-dr|pleural polys grans
fibrn dadtion bloo prodcts|fibrin degradation prduc bood|screen saliylate bld
body other cd45 fluid|cd45 fluid body other|carbonic anhydride other fluid bicarbonate,other body fluid
osmolality, ascites ascites|osmolality, ascites ascites|mesothelial fluid cebrospinl cells (cerebrospinal fluid)
urine rbc|rbc urine|ascis osmolality, ascites quantitative
hemoglobin c blood|blood c hemoglobin|renal epihlialclls rine
eosnophilscerebrospinal spinal flu (csf) fli|eosinophils cerebrospinal fluid (csf)|count/volume mnocyte count blo
stool chloride, stool|stool chloride, stool|protein blood antigen c,
cd5blood|cd59 blood|onemarrw cd64
amylas, joit fluid uid joint syn|amylase, joint fluid joint fluid|lymphocytes other body fluid
blood mch electr|mch hb bloo|pappenheimer blood bodies
iron bone stain marrow|iron stn stain bone marrow|cd34 bone marrow
urne yeast hypheated|hyphenated yeast urine|reticulocyte count, manual blood
hemosiderin urine ur|urine hemosiderin|a glyco bone marrow
calcium oxalate crystals urne|calcium urine crystals oxalate|urine fatty
pleural basophils pleural|basophlslura|epithelial non-squamous cells urine
triiodothyronine (t3) blood|(t3) triiodothyronine blood|blood cd59
other a glyco body fluid|glyco a other bodyfluid|eosinophils other body fluid
pleural polys grans|pleural polys leuk|reticulocyte count, manual blood
beta-2 blood microglobulin|beta-2 microglobulin blood|specific gravity urine
fetal hemoglobin blood|blood hemoglobin fetal|blood xii factor
leukocyte alkaline phosphatase blood|leukocyte alkaline blood phosphatase|anti-parietal cell antibody blood
quan bsophil pleural|basophils pleural|cd64 bone marrow
uric crstals acid urne|uric acid crystals urine|myelocytes body other fluid
cd11c other body flud|body other cd11c fluid|marrow bone cd55
blood schistocytes|bld ql schistocytes|white blood cells blood
fmc-7 bood|blod fmc7|blood cd56
blod absolutes eoinophils|eosinophils blood|cells, cd8 percent blood
total cholesterol, blood|cholesterol, bood serum total|protein s, anigen blod
protein, total pleural pleural|total pleural thoracentesis fluid pleural protein,|oterbodyluid hla-d
rheumatoid blood enzyme immunoassay factor|rheumatod faco blood|xiii factor blood
thyroglobulin bld serp|blood thyroglobulin|blood cd22
urea nitrogen, urine urine|rea urineurine nitrogen,|mass concentration blood tobramycin
quan mchc blood|mchc red blood corpusles blood|basophils fluid cerebrospinal (cerebrospinal fluid)
amylase blood|blod mylase|bld parasite smear bld identity or presence
bloo fetalhemoglobin|tot fetal hemogloin bld|blood neutrophils
c-ratveproein bood|c-ractive proen lood plsm|total protein, blood pt
pencil cells lm blood|pencil cells blood|cholesterol, ascites ascites
blood cd33|blood cd33|urine crystals, other urine
serp glucose blood|level glucose blood|ftt urie
monocytes erebrspinal fluid cerebral spinal fluid (csf)|monocytes fluid cerebrospinal (cerebrospinal fluid)|marrow c41bone
basophis cerebrospnal (cerebrospinal fluid) fuid|basophiscerebrospinal (csf) fluid|macrphageasctes
lyco abood|glyco a blood|point in time atypical lymphocytes pleural
urne bilirbin|bilirubin urine|total urine protein, urine
blood (t3) triiodothyronine|blood (t3) quant triiodothyronine|coor urine urine
cholesterol crystals urine|cholestrlcrystals uine|urea nitrgen blood n2
nrbc joint fluid|fluid joint nrbc|ha-dr other ody fluid
acies marophage|macrophage ascites|platelet cont blood
urine urine glucose,|glucose, urine urine|cd3 ther body fluid
macrovalocytes blood|macroovalocytes bld|urine urine albumin, quantitative
urine slfomdes|sulfonamides urine|o2fow blod flow
hormone luteinizing blood|luteinizing blood hormone|bone cd2 marrow
number concentration bld count eosinophil|eosinophil count blood|tumor marker cancer antigen 27.29 blood
amylae blod|blod plasma amylase|ascites osmolality, ascites
casts waxy urine|casts waxy urine|cd5 blood
homocysteine blood|blood homocysteine|amylase, jont fluid join fluid
urine urine albumin, quantitative|albumin, urine urine|sex hormone binding globulin blood
quan blod m imoglobuin|immunoglobulin m blood|fibrn dadtion bloo prodcts
cd59 blood|cd59 blood|protein c-reactive blood
tissue transglutaminase ab, iga blood|tiss transgluaminasab, iga blood|blood pl thyroglobulin
ck-mb blood index|ck-mb blood ck-mb index|blod cd11c
hyaline casts urine|hyaline urine casts|quantitative g6pd blood
asctes lkcs bsphils|scites basophis|bicarbnate, ascites sites quantitative
joint nrbc fluid|nrbc joint fluid|body othr lasma fluid
re cellsblood blood|rd ood cells blood|hypersegmented neutrophils blood
renal epihlialclls rine|uie cells renalepithelia|alb albumin blood
glucose, body fluid other body fluid|glucose, body fluid other body fluid level|whole blood polychromasia blood
reainine, random pleral pleurl|creatinine, pleural pleural|cd7 other body fluid
cd fluid body other|body other cd2 flud|urea nitrogen, ascites ascites
protein, total pleural pleural|total pleural thoracentesis fluid pleural protein,|double stranded quant dna bld
bite cells lod|bite cells bld|bone cd7 marrow
